Wall time,Step,Value
1666413172.3459468,2048,377.90606689453125
1666413424.8694632,4096,432.9836730957031
1666413677.163641,6144,468.7711181640625
1666413926.3145175,8192,470.2051086425781
1666414171.5800004,10240,434.7499084472656
1666414417.426301,12288,449.04437255859375
1666414665.1692011,14336,460.2503662109375
1666414917.2515466,16384,497.715576171875
1666415168.8183703,18432,504.3764953613281
1666415420.759242,20480,479.9154357910156
1666415670.407457,22528,445.2504577636719
1666415923.1917536,24576,479.8836975097656
1666416177.3349843,26624,476.8460998535156
1666416433.2231145,28672,471.6702575683594
1666416680.3592618,30720,488.03631591796875
1666416930.8851144,32768,480.3478698730469
1666417186.1361024,34816,515.3966064453125
1666417444.0805802,36864,518.5392456054688
1666417694.2405384,38912,479.3103332519531
1666417959.6638784,40960,486.008544921875
1666418211.6574256,43008,458.3370056152344
1666418466.442961,45056,509.5313415527344
1666418718.5479743,47104,550.57421875
1666418973.4473867,49152,518.1641235351562
1666419233.9534657,51200,549.705078125
1666419493.5116258,53248,546.7818603515625
1666419747.928604,55296,500.1135559082031
1666419997.5958939,57344,521.7578125
1666420258.5480297,59392,550.0569458007812
1666420514.5722187,61440,561.8272705078125
1666420777.4668195,63488,568.8941040039062
1666421038.6027622,65536,590.974365234375
1666421293.4586775,67584,596.14013671875
1666421553.3375516,69632,541.4434204101562
1666421806.8530066,71680,563.80322265625
1666422062.877177,73728,589.40185546875
1666422317.1122751,75776,599.3726806640625
1666422586.1607776,77824,640.95263671875
1666422844.0373476,79872,597.0604858398438
1666423098.3754923,81920,587.8646240234375
1666423361.1277568,83968,614.5228881835938
1666423618.5918484,86016,643.5698852539062
1666423875.7644162,88064,583.8055419921875
1666424132.070815,90112,611.7376098632812
1666424392.5021138,92160,628.61865234375
1666424652.391361,94208,632.342041015625
1666424913.1943996,96256,665.0244750976562
1666425177.062468,98304,595.1741333007812
1666425437.8409452,100352,632.5708618164062
1666425699.9507232,102400,608.7020874023438
1666425972.87484,104448,636.8159790039062
1666426242.7384074,106496,627.8487548828125
1666426507.9476752,108544,616.557861328125
1666426802.2051888,110592,669.2433471679688
1666427082.4965365,112640,691.7299194335938
1666427347.8998528,114688,735.5962524414062
1666427612.3998833,116736,674.7658081054688
1666427873.3392117,118784,669.64404296875
1666428138.1297143,120832,698.2808837890625
1666428398.641739,122880,674.6524658203125
1666428672.4430223,124928,738.931640625
1666428939.368717,126976,722.68310546875
1666429201.878164,129024,766.5571899414062
1666429471.318713,131072,769.0840454101562
1666429742.498832,133120,717.4513549804688
1666430006.6926906,135168,700.8421630859375
1666430276.8261993,137216,710.879638671875
1666430544.307217,139264,737.5419921875
1666430815.4243693,141312,701.2147827148438
1666431083.3721008,143360,714.5758056640625
1666431343.1681466,145408,783.8274536132812
1666431608.4314306,147456,743.7941284179688
1666431868.8803961,149504,794.6966552734375
1666432132.5159922,151552,784.661865234375
1666432393.3530111,153600,725.1424560546875
1666432659.0394988,155648,753.2158203125
1666432922.818308,157696,795.2684936523438
1666433191.259525,159744,885.278076171875
1666433461.6632934,161792,770.22021484375
1666433724.3324008,163840,767.3169555664062
1666433987.865964,165888,776.3246459960938
1666434248.564253,167936,896.1932983398438
1666434514.1812963,169984,891.7571411132812
1666434776.819579,172032,879.8514404296875
1666435037.9932442,174080,880.7785034179688
1666435294.4946058,176128,889.2960205078125
1666435561.7298906,178176,896.6444091796875
1666435827.1214757,180224,915.4461669921875
1666436101.123428,182272,923.2260131835938
1666436361.0656288,184320,947.3298950195312
1666436624.3626902,186368,983.6043090820312
1666436885.717164,188416,936.4991455078125
1666437144.509647,190464,937.5467529296875
1666437401.2144444,192512,980.5464477539062
1666437661.382841,194560,1014.4849853515625
1666437922.445455,196608,1070.8504638671875
1666438186.1369236,198656,1051.695068359375
1666438443.3844488,200704,1059.76416015625
1666438702.5447218,202752,1057.4962158203125
1666438965.7195292,204800,1111.551025390625
1666439229.1689558,206848,1111.927001953125
1666439490.8748155,208896,1106.351318359375
1666439756.2218952,210944,1115.0711669921875
1666440016.800371,212992,1126.214599609375
1666440280.058205,215040,1164.5531005859375
1666440541.963616,217088,1116.09326171875
1666440804.7870154,219136,1102.640625
1666441073.4011006,221184,1180.5
1666441336.0030732,223232,1215.6754150390625
1666441598.5307963,225280,1185.3428955078125
1666441860.6779327,227328,1117.42529296875
1666442123.7820768,229376,1126.5682373046875
1666442388.528094,231424,1141.02783203125
1666442655.5516338,233472,1220.3216552734375
1666442916.9909585,235520,1181.883544921875
1666443179.3176343,237568,1201.4290771484375
1666443434.3087442,239616,1240.5576171875
1666443695.428412,241664,1209.039794921875
1666443952.8881426,243712,1174.367919921875
1666444214.8932965,245760,1273.16650390625
1666444467.4817414,247808,1261.5667724609375
1666444724.6287074,249856,1225.4244384765625
1666444987.6162946,251904,1237.4593505859375
1666445242.391065,253952,1252.3988037109375
1666445500.5588343,256000,1298.088134765625
1666445764.1013741,258048,1191.324462890625
1666446022.5884295,260096,1152.921875
1666446283.2583053,262144,1223.559326171875
1666446640.6489716,264192,1266.5594482421875
1666447024.4011178,266240,1190.9852294921875
1666447413.9334986,268288,1195.1357421875
1666447693.0561235,270336,1170.6243896484375
1666447943.631936,272384,1267.6656494140625
1666448188.9445765,274432,1238.683349609375
1666448433.4673476,276480,1222.296142578125
1666448674.192458,278528,1220.8607177734375
1666448914.9439747,280576,1252.224853515625
1666449155.976466,282624,1261.9283447265625
1666449398.6149902,284672,1286.16015625
1666449641.3659396,286720,1290.7650146484375
1666449880.8472817,288768,1295.50927734375
1666450121.3919048,290816,1261.4453125
1666450388.5289538,292864,1310.6593017578125
1666450661.4297345,294912,1369.5850830078125
1666450932.7159536,296960,1368.7501220703125
1666451217.7553751,299008,1342.50830078125
1666451493.2315733,301056,1311.069580078125
1666451762.0971937,303104,1285.4197998046875
1666452026.9174678,305152,1294.33544921875
1666452292.8123028,307200,1319.640625
1666452550.7988079,309248,1241.8028564453125
1666452809.4198058,311296,1283.830078125
1666453074.5090485,313344,1313.2198486328125
1666453335.7583315,315392,1305.7366943359375
1666453607.132812,317440,1334.6298828125
1666453877.4009845,319488,1281.08935546875
1666454148.4930077,321536,1337.50146484375
1666454416.7816195,323584,1311.62744140625
1666454682.8921645,325632,1264.861328125
1666454952.2441764,327680,1316.180908203125
1666455215.7879536,329728,1358.87890625
1666455485.214804,331776,1358.978759765625
1666455771.710935,333824,1344.4930419921875
1666456058.6370223,335872,1371.076904296875
1666456336.2086637,337920,1363.7098388671875
1666456610.5913315,339968,1343.0828857421875
1666456879.437086,342016,1306.85693359375
1666457151.1578088,344064,1394.12451171875
1666457427.27909,346112,1383.9813232421875
1666457695.319747,348160,1371.9058837890625
1666457972.0197303,350208,1397.0406494140625
1666458246.233473,352256,1426.39501953125
1666458519.2191217,354304,1449.8839111328125
1666458792.9098668,356352,1367.845458984375
1666459060.4152725,358400,1312.160400390625
1666459334.760073,360448,1373.239990234375
1666459606.7725282,362496,1368.4052734375
1666459867.8857067,364544,1413.3089599609375
1666460129.9256773,366592,1364.4063720703125
1666460401.3675718,368640,1389.8402099609375
1666460662.591894,370688,1419.2225341796875
1666460921.7283533,372736,1389.7537841796875
1666461187.7724426,374784,1346.49755859375
1666461449.8130336,376832,1390.88916015625
1666461720.6494422,378880,1397.8516845703125
1666461994.3452477,380928,1440.673828125
1666462257.4115179,382976,1377.3541259765625
1666462524.423624,385024,1425.212646484375
1666462785.196111,387072,1411.736083984375
1666463049.62858,389120,1417.961669921875
1666463325.774608,391168,1431.8243408203125
1666463597.4417472,393216,1378.018310546875
1666463862.3424053,395264,1332.9327392578125
1666464126.256771,397312,1436.488525390625
1666464390.261516,399360,1392.008056640625
1666464664.0628517,401408,1386.373046875
1666464932.7358172,403456,1437.5435791015625
1666465207.1056929,405504,1488.2381591796875
1666465480.672779,407552,1435.01611328125
1666465750.3365178,409600,1338.908935546875
1666466023.1072128,411648,1319.7906494140625
1666466293.7263026,413696,1316.066162109375
1666466567.1641884,415744,1475.022705078125
1666466834.0277462,417792,1500.4532470703125
1666467102.659607,419840,1505.9127197265625
1666467371.7141917,421888,1485.957763671875
1666467645.7164268,423936,1454.5728759765625
1666467923.6405077,425984,1377.2615966796875
1666468196.3578923,428032,1435.6190185546875
1666468464.3708768,430080,1454.8594970703125
1666468773.7312346,432128,1433.648681640625
1666469093.953782,434176,1435.1387939453125
1666469395.0681725,436224,1473.123046875
1666469654.5481923,438272,1456.4508056640625
1666469889.1701615,440320,1461.969970703125
1666470124.2262547,442368,1410.948486328125
1666470360.6170287,444416,1522.44384765625
1666470598.2586024,446464,1473.7911376953125
1666470836.1133487,448512,1394.750732421875
1666471073.8997464,450560,1337.3829345703125
1666471310.404188,452608,1463.7645263671875
1666471546.8463528,454656,1431.11669921875
1666471782.940921,456704,1405.2840576171875
1666472022.03761,458752,1475.458740234375
1666472261.2143188,460800,1519.59521484375
1666472499.67896,462848,1540.9527587890625
