steps,run0,run1,run2,run3,run4
2048,377.9060669,454.9603271,428.3466797,357.1914673,420.164978
4096,432.9836731,374.9135742,400.3673096,402.7077026,385.0871277
6144,468.7711182,400.914917,419.6177368,473.5513,379.7563171
8192,470.2051086,405.7658386,378.9705811,482.8557739,428.489563
10240,434.7499084,403.0496826,400.7427368,477.9413757,469.7950745
12288,449.0443726,431.1550903,436.3146667,446.5009766,454.3146057
14336,460.2503662,466.2024841,465.1158752,458.3673401,442.6335144
16384,497.7155762,481.7240295,502.8901367,486.9859619,451.301178
18432,504.3764954,484.6940308,484.2150879,484.302948,471.1474304
20480,479.9154358,475.3172302,483.5540466,489.1281128,464.602356
22528,445.2504578,493.7471008,528.5933228,458.4676819,501.5635681
24576,479.8836975,534.6239624,476.5016785,469.8737488,493.1478882
26624,476.8460999,553.5803833,465.8009338,466.2442322,486.2390747
28672,471.6702576,526.4825439,510.6941833,466.6677551,514.6695557
30720,488.0363159,526.5118408,516.9660034,483.9038696,568.1072388
32768,480.3478699,520.6818237,499.5741272,537.4960938,481.4913025
34816,515.3966064,513.6038818,520.7955933,476.248291,492.8763428
36864,518.5392456,539.5177002,506.7052612,489.0451355,526.1251221
38912,479.3103333,554.3858643,543.2566528,501.797821,493.7365112
40960,486.0085449,545.1318359,530.6303101,492.7815552,515.0705566
43008,458.3370056,579.3643188,544.2592773,530.0551758,515.4896851
45056,509.5313416,559.6676025,558.7662354,531.3909302,524.8795776
47104,550.5742188,571.6956177,540.9558105,529.838562,547.6658325
49152,518.1641235,541.1679077,516.3450928,519.5802002,566.7192383
51200,549.7050781,503.6231689,521.1182861,530.0444946,582.0762939
53248,546.7818604,554.4082031,583.5403442,520.2396851,521.7436523
55296,500.1135559,582.4989624,573.3797607,541.060791,517.1096802
57344,521.7578125,582.69104,556.7373047,534.8826294,531.6555176
59392,550.0569458,600.5761108,553.7453613,545.1445313,506.0136719
61440,561.8272705,632.0285034,563.7653198,531.7346191,533.869873
63488,568.894104,597.1074829,499.1151428,524.0467529,518.6310425
65536,590.9743652,533.2758179,502.0992432,551.7869873,535.8455811
67584,596.1401367,590.9203491,521.9581909,546.5256348,532.222229
69632,541.4434204,610.6557617,543.2116699,564.8808594,535.8840942
71680,563.8032227,680.899231,556.7398682,532.6031494,568.9017944
73728,589.4018555,590.0616455,539.869873,522.1089478,643.7194824
75776,599.3726807,571.757019,570.9910278,526.3260498,620.7515259
77824,640.9526367,596.4730835,600.8513184,543.489502,585.5996704
79872,597.0604858,563.9522095,592.918335,559.2593384,569.7583008
81920,587.864624,563.2496948,576.8921509,550.6578979,571.2400513
83968,614.5228882,641.3835449,507.6721802,536.7963257,571.3986206
86016,643.5698853,688.9213257,538.5193481,583.7071533,568.7232056
88064,583.805542,595.0552979,555.3357544,605.5316162,596.4515381
90112,611.7376099,611.3212891,592.5488281,580.0310059,599.0453491
92160,628.6186523,644.6723633,610.0786133,571.0883179,588.8347778
94208,632.342041,647.5008545,633.6326294,617.1982422,557.1790771
96256,665.0244751,664.8258667,609.8445435,593.8764038,572.3343506
98304,595.1741333,704.527832,635.7800293,591.6835938,589.5654907
100352,632.5708618,599.6815796,654.6034546,608.4794922,615.3112793
102400,608.7020874,620.946106,634.1494141,626.5197144,595.5289307
104448,636.815979,635.024292,695.5709229,608.2772217,572.0678711
106496,627.8487549,670.1546631,675.0826416,650.2896118,593.307312
108544,616.5578613,676.6538696,664.6258545,657.6991577,596.4014282
110592,669.2433472,660.5465088,684.5752563,662.0664063,575.0653076
112640,691.7299194,651.3483276,754.9598999,647.7368774,585.1477051
114688,735.5962524,673.0232544,707.2255859,587.0317993,623.4121094
