Wall time,Step,Value
1666665450.756463,2048,428.3466796875
1666665674.1844165,4096,400.3673095703125
1666665938.4626327,6144,419.61773681640625
1666666251.6485531,8192,378.9705810546875
1666666575.4909215,10240,400.74273681640625
1666666904.0565498,12288,436.3146667480469
1666667233.1702113,14336,465.1158752441406
1666667563.9839094,16384,502.89013671875
1666667873.116214,18432,484.215087890625
1666668201.4980428,20480,483.5540466308594
1666668543.5976484,22528,528.5933227539062
1666668871.693674,24576,476.5016784667969
1666669204.1188817,26624,465.8009338378906
1666669535.2465694,28672,510.6941833496094
1666669864.5982182,30720,516.9660034179688
1666670196.786583,32768,499.5741271972656
1666670535.2217774,34816,520.7955932617188
1666670873.149894,36864,506.70526123046875
1666671194.332115,38912,543.2566528320312
1666671521.0885544,40960,530.6303100585938
1666671842.6840155,43008,544.25927734375
1666672174.8321173,45056,558.7662353515625
1666672512.492692,47104,540.955810546875
1666672837.7731283,49152,516.3450927734375
1666673172.5979085,51200,521.1182861328125
1666673505.657726,53248,583.5403442382812
1666673835.4823906,55296,573.3797607421875
1666674172.2740314,57344,556.7373046875
1666674509.2623465,59392,553.745361328125
1666674833.3565106,61440,563.7653198242188
1666675153.9172058,63488,499.1151428222656
1666675471.91627,65536,502.0992431640625
1666675800.2996202,67584,521.9581909179688
1666676130.8797593,69632,543.211669921875
1666676458.6206121,71680,556.7398681640625
1666676781.8249545,73728,539.869873046875
1666677114.7556922,75776,570.9910278320312
1666677433.8636963,77824,600.851318359375
1666677759.242069,79872,592.9183349609375
1666678092.6815004,81920,576.8921508789062
1666678418.9494853,83968,507.67218017578125
1666678741.9672635,86016,538.5193481445312
1666679068.3185205,88064,555.3357543945312
1666679389.2063584,90112,592.548828125
1666679702.56411,92160,610.07861328125
1666680015.6217124,94208,633.6326293945312
1666680331.0405667,96256,609.8445434570312
1666680653.8778455,98304,635.780029296875
1666680974.7809062,100352,654.6034545898438
1666681292.320627,102400,634.1494140625
1666681605.7072732,104448,695.5709228515625
1666681930.6133323,106496,675.0826416015625
1666682253.7946227,108544,664.6258544921875
1666682565.9159822,110592,684.5752563476562
1666682893.8986962,112640,754.9598999023438
1666683213.5607529,114688,707.2255859375
1666683538.6203153,116736,741.9676513671875
1666683860.9461887,118784,705.36279296875
1666684188.9226213,120832,760.453857421875
