Wall time,Step,Value
1666586614.501045,2048,454.9603271484375
1666586843.412422,4096,374.91357421875
1666587074.3598828,6144,400.9149169921875
1666587304.5351245,8192,405.7658386230469
1666587533.6975105,10240,403.0496826171875
1666587765.8523273,12288,431.15509033203125
1666588000.1506398,14336,466.2024841308594
1666588233.657866,16384,481.7240295410156
1666588466.4341304,18432,484.69403076171875
1666588699.8201509,20480,475.3172302246094
1666588935.0922985,22528,493.7471008300781
1666589171.188145,24576,534.6239624023438
1666589409.521653,26624,553.5803833007812
1666589641.5134528,28672,526.4825439453125
1666589874.0387402,30720,526.5118408203125
1666590108.0076718,32768,520.6818237304688
1666590340.6909072,34816,513.6038818359375
1666590576.5001333,36864,539.5177001953125
1666590813.60173,38912,554.3858642578125
1666591047.3346689,40960,545.1318359375
1666591283.3331783,43008,579.3643188476562
1666591518.0196962,45056,559.6676025390625
1666591753.28838,47104,571.6956176757812
1666591987.4245498,49152,541.1679077148438
1666592221.4768279,51200,503.6231689453125
1666592456.6265814,53248,554.408203125
1666592696.9495535,55296,582.4989624023438
1666592935.526202,57344,582.6910400390625
1666593173.2238533,59392,600.5761108398438
1666593411.2969935,61440,632.0285034179688
1666593649.1639297,63488,597.1074829101562
1666593886.0559175,65536,533.2758178710938
1666594122.5160072,67584,590.9203491210938
1666594359.7038493,69632,610.65576171875
1666594600.473374,71680,680.8992309570312
1666594837.5281973,73728,590.0616455078125
1666595078.4531212,75776,571.7570190429688
1666595318.961928,77824,596.4730834960938
1666595554.6254451,79872,563.9522094726562
1666595791.4656365,81920,563.2496948242188
1666596034.1469307,83968,641.383544921875
1666596274.3379707,86016,688.9213256835938
1666596516.1622753,88064,595.0552978515625
1666596755.7468047,90112,611.3212890625
1666596995.186977,92160,644.67236328125
1666597235.7938778,94208,647.5008544921875
1666597477.6755059,96256,664.8258666992188
1666597720.7649353,98304,704.52783203125
1666597959.871552,100352,599.6815795898438
1666598201.223497,102400,620.9461059570312
1666598445.0313275,104448,635.0242919921875
1666598686.1487381,106496,670.1546630859375
1666598927.5749824,108544,676.6538696289062
1666599168.177055,110592,660.5465087890625
1666599416.0707912,112640,651.3483276367188
1666599661.0849414,114688,673.0232543945312
1666599907.9659195,116736,704.5521850585938
1666600152.9287493,118784,733.4051513671875
1666600399.3220417,120832,673.8775024414062
1666600642.7160118,122880,643.2772216796875
1666600887.9662528,124928,625.5172119140625
1666601134.55687,126976,721.8486328125
1666601380.2459183,129024,754.9992065429688
1666601624.9243605,131072,700.9539184570312
1666601870.1907096,133120,711.4796752929688
1666602117.6089437,135168,777.9322509765625
1666602366.6181512,137216,752.9920654296875
1666602613.1655102,139264,710.9683837890625
1666602862.6178508,141312,814.79296875
1666603111.1147978,143360,811.0250854492188
1666603360.7892756,145408,755.2509765625
1666603611.8907561,147456,716.6138305664062
1666603860.8481665,149504,704.1721801757812
1666604114.9635227,151552,816.555908203125
1666604368.8809154,153600,811.3842163085938
1666604622.732719,155648,816.6459350585938
1666604879.6671398,157696,851.0458984375
1666605132.5803933,159744,879.9744873046875
1666605383.0864687,161792,826.1730346679688
1666605631.9314766,163840,797.5762939453125
1666605889.269202,165888,873.6806640625
1666606142.070424,167936,911.9414672851562
1666606394.9926293,169984,847.645751953125
1666606647.4237795,172032,844.1129150390625
1666606900.1647863,174080,857.6859741210938
1666607153.9679742,176128,915.3848266601562
1666607406.4577453,178176,856.3284301757812
1666607663.0744667,180224,850.0697631835938
1666607921.124295,182272,823.5517578125
1666608179.1808596,184320,803.7233276367188
1666608436.9378495,186368,852.6867065429688
1666608695.3834457,188416,874.9983520507812
1666608954.5105138,190464,859.0765380859375
1666609214.5864108,192512,913.7344970703125
1666609470.0437238,194560,899.091064453125
1666609729.5114424,196608,849.2984008789062
1666609988.8447318,198656,811.9326171875
1666610247.032181,200704,854.3692016601562
1666610504.7543576,202752,960.5198364257812
1666610767.483897,204800,878.9550170898438
1666611027.1444309,206848,838.529296875
1666611288.930582,208896,911.5452880859375
1666611551.3718429,210944,993.6602172851562
1666611812.9857988,212992,999.5230102539062
1666612075.9992049,215040,932.0336303710938
1666612337.3504689,217088,905.113525390625
1666612597.4448063,219136,982.7229614257812
1666612859.162879,221184,969.558837890625
1666613122.886645,223232,984.6873168945312
1666613384.3224156,225280,956.6909790039062
1666613647.3388817,227328,910.6376342773438
1666613913.580389,229376,897.2308959960938
1666614180.0685892,231424,918.8389892578125
1666614445.5996397,233472,974.0238647460938
1666614746.2616704,235520,973.3738403320312
1666615170.2951233,237568,928.914306640625
1666615596.9911816,239616,937.0615234375
1666615894.5560286,241664,989.3080444335938
1666616198.728718,243712,981.3309326171875
1666616542.7777479,245760,944.010498046875
1666616886.5455763,247808,949.7717895507812
1666617224.807625,249856,977.700439453125
1666617569.3200362,251904,937.7106323242188
1666617909.713079,253952,905.0812377929688
1666618246.9903395,256000,963.915283203125
1666618596.6185937,258048,936.0731811523438
1666618935.1077356,260096,1011.6437377929688
1666619234.3157008,262144,921.214111328125
1666619548.7361166,264192,919.8165283203125
1666619847.3995993,266240,982.8644409179688
1666620139.5154119,268288,1011.618896484375
1666620427.1016245,270336,974.7884521484375
1666620725.8220863,272384,993.5597534179688
1666621018.0051255,274432,1012.033203125
1666621322.0915325,276480,1033.4425048828125
1666621630.944494,278528,1055.0872802734375
1666621961.237204,280576,1064.6741943359375
1666622316.4459054,282624,1016.51611328125
1666622587.6477766,284672,1043.670166015625
1666622870.084814,286720,1060.012451171875
1666623164.131689,288768,1000.522705078125
1666623474.8872392,290816,1016.9026489257812
1666623743.1726406,292864,1001.1126708984375
1666624012.9534512,294912,1047.6220703125
1666624282.002083,296960,1043.651123046875
1666624550.2538908,299008,976.7681884765625
1666624820.66479,301056,1042.5032958984375
1666625089.751153,303104,1003.8095703125
