Wall time,Step,Value
1691273544.8463068,4096,78.39561462402344
1691273609.6171358,8192,65.28132629394531
1691273673.555892,12288,68.13951873779297
1691273704.9011729,14336,71.51506042480469
1691273766.1377873,18432,75.10710144042969
1691273826.1865206,22528,64.66891479492188
1691273855.7975492,24576,106.2783432006836
1691273886.702454,26624,92.60045623779297
1691273919.2938504,28672,75.82378387451172
1691273951.064542,30720,75.43965911865234
1691273981.2061303,32768,81.21099090576172
1691274010.9183354,34816,83.26559448242188
1691274041.7090757,36864,104.010009765625
1691274072.374716,38912,103.93716430664062
1691274103.184528,40960,95.61602020263672
1691274133.8012137,43008,81.29338073730469
1691274195.337876,47104,83.38692474365234
1691274259.3759975,51200,87.55043029785156
1691274291.017153,53248,91.70962524414062
1691274451.4285629,63488,88.81282043457031
1691274483.3304374,65536,76.43920135498047
1691274515.6362128,67584,85.55775451660156
1691274548.3254387,69632,81.14461517333984
1691274580.107535,71680,79.73941802978516
1691274644.0833094,75776,88.90098571777344
1691274740.9045594,81920,102.80561065673828
1691274774.3849943,83968,89.76763153076172
1691274839.7448568,88064,104.27249145507812
1691274871.8074756,90112,123.66172790527344
1691274903.908433,92160,85.55889129638672
1691274937.3284047,94208,111.35850524902344
1691275013.1056721,98304,99.1642074584961
1691275088.9492018,102400,118.29264831542969
1691275121.654356,104448,101.34945678710938
1691275221.9818125,110592,132.6953125
1691275255.346014,112640,111.93394470214844
1691275289.6737654,114688,107.16524505615234
1691275323.3256035,116736,98.36370849609375
1691275356.5884876,118784,112.3675537109375
1691275463.4389126,124928,106.21842956542969
1691275498.2225604,126976,119.9424819946289
1691275533.2707179,129024,118.4027099609375
1691275567.4506955,131072,115.76412963867188
1691275600.9779792,133120,113.88306427001953
1691275634.635656,135168,108.1236343383789
1691275668.6748066,137216,118.68875122070312
1691275702.4152696,139264,117.75408172607422
1691275736.5410664,141312,136.0553741455078
1691275770.3563855,143360,127.75877380371094
1691275839.492467,147456,108.90133666992188
1691275873.9017568,149504,107.87837982177734
1691275908.217221,151552,114.3580093383789
1691275941.965785,153600,102.78561401367188
1691276013.749579,157696,104.28166961669922
1691276082.174149,161792,118.9584732055664
1691276116.872325,163840,109.7260513305664
1691276185.8694663,167936,103.25413513183594
1691276220.7592049,169984,124.33901977539062
1691276290.1481972,174080,105.50247192382812
1691276324.0143018,176128,105.1922836303711
1691276358.992391,178176,123.43281555175781
1691276392.8928084,180224,109.23072814941406
1691276427.6340284,182272,112.70018005371094
1691276462.2005394,184320,115.5451431274414
1691276530.2373435,188416,109.15449523925781
1691276564.2795954,190464,122.64370727539062
1691276598.168171,192512,104.50257873535156
1691276632.451978,194560,116.1745834350586
1691276804.023981,204800,142.80850219726562
1691276838.8466969,206848,148.57382202148438
1691276910.4857528,210944,109.20455932617188
1691276982.1587849,215040,150.1688690185547
1691277017.058479,217088,127.9751205444336
1691277057.3303463,219136,115.75566101074219
1691277180.1406806,225280,121.85726165771484
1691277215.5811436,227328,104.68038940429688
1691277320.652649,233472,122.5775375366211
1691277432.5351648,239616,125.82742309570312
1691277502.9351113,243712,108.88494873046875
