Wall time,Step,Value
1691273393.6039286,4096,70.49356842041016
1691273447.742007,8192,78.17343139648438
1691273503.5754824,12288,74.7251968383789
1691273533.2771246,14336,84.14044189453125
1691273594.543656,18432,69.7826919555664
1691273656.1455476,22528,74.3448257446289
1691273686.8430402,24576,81.4535140991211
1691273716.7763333,26624,66.2574691772461
1691273746.951048,28672,73.65614318847656
1691273777.4765787,30720,72.39055633544922
1691273807.4894927,32768,65.8840103149414
1691273839.0340548,34816,76.63903045654297
1691273869.8890085,36864,75.83684539794922
1691273900.260546,38912,66.64715576171875
1691273931.6164184,40960,72.5273208618164
1691273963.0186577,43008,85.17544555664062
1691274023.8535147,47104,76.24200439453125
1691274084.7806735,51200,74.57539367675781
1691274116.4704235,53248,82.47269439697266
1691274271.513457,63488,94.38872528076172
1691274303.3491607,65536,86.24510192871094
1691274335.571996,67584,88.01663208007812
1691274368.5652754,69632,99.44754028320312
1691274401.259329,71680,101.87841796875
1691274464.4387183,75776,98.45622253417969
1691274563.599515,81920,80.198974609375
1691274596.617882,83968,86.25791931152344
1691274663.6820407,88064,92.94388580322266
1691274696.855575,90112,102.14350128173828
1691274730.7501855,92160,103.40931701660156
1691274763.4868238,94208,96.46442413330078
1691274829.8743095,98304,109.37989044189453
1691274896.552335,102400,99.09574890136719
1691274930.3301036,104448,97.48423767089844
1691275031.556775,110592,105.0450210571289
1691275065.7713897,112640,108.53943634033203
1691275099.2862198,114688,101.58415222167969
1691275132.3457382,116736,102.50166320800781
1691275167.3276656,118784,105.83045196533203
1691275268.4088886,124928,104.2801284790039
1691275302.1704812,126976,106.05668640136719
1691275336.5921643,129024,112.72472381591797
1691275370.533634,131072,113.1334228515625
1691275405.1394684,133120,113.16080474853516
1691275439.513229,135168,142.1332244873047
1691275474.0179408,137216,140.4459991455078
1691275508.2808106,139264,111.00552368164062
1691275542.798195,141312,107.88106536865234
1691275577.294105,143360,118.94702911376953
1691275645.6344483,147456,122.39794921875
1691275679.7030268,149504,106.59876251220703
1691275714.5424361,151552,122.2861328125
1691275749.0445821,153600,115.76956939697266
1691275818.1278586,157696,104.76789093017578
1691275886.7433221,161792,101.9202651977539
1691275921.969042,163840,121.84425354003906
1691275991.1136258,167936,102.28282165527344
1691276025.6497474,169984,91.19200134277344
1691276094.8186388,174080,114.54608154296875
1691276129.1856298,176128,129.09356689453125
1691276163.2568557,178176,108.90320587158203
1691276197.4161766,180224,116.06059265136719
1691276232.1333835,182272,108.60418701171875
1691276266.7404857,184320,94.7403793334961
1691276336.4426954,188416,127.92913818359375
1691276370.5717115,190464,102.45697784423828
1691276406.1805985,192512,123.52656555175781
1691276441.1779463,194560,109.41879272460938
1691276615.0027804,204800,123.03080749511719
1691276650.1407502,206848,120.02075958251953
1691276720.6487339,210944,117.25786590576172
1691276791.719793,215040,117.91992950439453
1691276827.1633606,217088,107.79696655273438
1691276861.9232333,219136,122.32438659667969
1691276965.3934577,225280,108.45764923095703
1691277000.8253946,227328,117.63646697998047
1691277105.8469744,233472,115.96229553222656
1691277211.153613,239616,118.40531158447266
1691277281.4883177,243712,120.89911651611328
1691277317.2753615,245760,156.9334716796875
1691277352.559368,247808,122.45486450195312
